OBJECTID,COLDETKEY,ST_AGE,ST_CONTRBCIR1_DESC,ST_INJRY_CLSS_DESC,ST_PARTCPNT_TYPE_DESC,ST_PED_ACT_DESC,ST_PED_WAS_USING_DESC,Incident Date,Report Number,x,y
224774254,386419,47,None,No Injury,Motor vehicle driver,,,2/24/2025,EF72649,-122.3553145,47.68694759
224774255,386419,11,,No Injury,Motor vehicle passenger,,,2/24/2025,EF72649,-122.3553145,47.68694759
224774256,386419,,,No Injury,Motor vehicle passenger,,,2/24/2025,EF72649,-122.3553145,47.68694759
224774257,386049,,Did not Grant Right of Way to Vehicle,Unknown,Motor vehicle driver,,,5/1/2025,EF89649,-122.3102737,47.59421978
224774258,386049,20,None,No Injury,Motor vehicle driver,,,5/1/2025,EF89649,-122.3102737,47.59421978
224774284,386396,49,Improper Turn/Merge,No Injury,Motor vehicle driver,,,3/9/2025,EF73865,-122.3221071,47.64319608
224774285,386396,67,None,No Injury,Motor vehicle driver,,,3/9/2025,EF73865,-122.3221071,47.64319608
224774286,386396,68,,No Injury,Motor vehicle passenger,,,3/9/2025,EF73865,-122.3221071,47.64319608
224774287,386396,13,,No Injury,Motor vehicle passenger,,,3/9/2025,EF73865,-122.3221071,47.64319608
224774288,386396,8,,No Injury,Motor vehicle passenger,,,3/9/2025,EF73865,-122.3221071,47.64319608
224774376,386182,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,2/6/2025,EF65032,-122.3539999,47.66170881
224774394,386421,37,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,3/6/2025,EF74383,-122.3148102,47.57215059
224774395,386421,23,None,No Injury,Motor vehicle driver,,,3/6/2025,EF74383,-122.3148102,47.57215059
224774406,386423,61,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,3/10/2025,EF74385,-122.3228116,47.5645245
224774408,386423,26,None,No Injury,Motor vehicle driver,,,3/10/2025,EF74385,-122.3228116,47.5645245
224774425,386424,82,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,3/7/2025,EF74386,-122.3001816,47.58100012
224774428,386424,,Disregard Traffic Sign or Signal,Unknown,Motor vehicle driver,,,3/7/2025,EF74386,-122.3001816,47.58100012
224774431,386056,36,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,1/10/2025,EF57846,-122.3055492,47.58634006
224774433,386056,45,Other/Contributing Circ. Not Listed,Possible Injury,Pedal cycle driver,Riding With Traffic,Roadway,1/10/2025,EF57846,-122.3055492,47.58634006
224774470,386006,35,Unknown Distraction,Possible Injury,Motor vehicle driver,,,5/5/2025,EF89646,-122.3130424,47.54652248
224774472,386006,28,None,Possible Injury,Motor vehicle driver,,,5/5/2025,EF89646,-122.3130424,47.54652248
224774474,386006,3,,No Injury,Motor vehicle passenger,,,5/5/2025,EF89646,-122.3130424,47.54652248
224774493,386391,53,Unknown Distraction,No Injury,Motor vehicle driver,,,2/8/2025,EF72096,-122.2962924,47.53896604
224774496,386391,54,None,No Injury,Motor vehicle driver,,,2/8/2025,EF72096,-122.2962924,47.53896604
224774525,385907,37,Did not Grant Right of Way to Non Motorist,No Injury,Motor vehicle driver,,,1/6/2025,EF53589,-122.3392961,47.58751156
224774526,385907,60,None,Possible Injury,Pedal cycle driver,All Other Actions,Designated Bike Route,1/6/2025,EF53589,-122.3392961,47.58751156
224774554,386057,26,Exceeding Stated Speed Limit,No Injury,Motor vehicle driver,,,1/19/2025,EF58634,-122.3161585,47.55271259
224774555,386057,,None,,Motor vehicle driver,,,1/19/2025,EF58634,-122.3161585,47.55271259
224774556,386057,,None,,Motor vehicle driver,,,1/19/2025,EF58634,-122.3161585,47.55271259
224774569,386060,31,Following Too Closely,No Injury,Motor vehicle driver,,,1/17/2025,EF59042,-122.3426418,47.65162433
224774570,386060,73,None,No Injury,Motor vehicle driver,,,1/17/2025,EF59042,-122.3426418,47.65162433
224774694,386197,76,None,No Injury,Motor vehicle driver,,,2/1/2025,EF65542,-122.2941279,47.66255588
224774695,386197,74,,No Injury,Motor vehicle passenger,,,2/1/2025,EF65542,-122.2941279,47.66255588
224774696,386197,22,Unknown Distraction,Non Serious Injury (Evident Injury),Pedestrian,Crossing -  Non Intersection - No Crosswalk,Roadway,2/1/2025,EF65542,-122.2941279,47.66255588
224774718,385926,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,1/9/2025,EF55656,-122.3232127,47.60171043
224774719,385926,,None,,Motor vehicle driver,,,1/9/2025,EF55656,-122.3232127,47.60171043
224774777,386185,33,Unknown Distraction,No Injury,Motor vehicle driver,,,5/2/2025,EF92435,-122.2996057,47.54025804
224774778,386185,34,None,No Injury,Motor vehicle driver,,,5/2/2025,EF92435,-122.2996057,47.54025804
224774798,386392,30,Overcorrecting/Oversteering,No Injury,Motor vehicle driver,,,2/28/2025,EF72257,-122.3433394,47.69907642
224774799,386392,50,,Unknown,Motor vehicle driver,,,2/28/2025,EF72257,-122.3433394,47.69907642
224775123,386220,30,Following Too Closely,No Injury,Motor vehicle driver,,,2/11/2025,EF66197,-122.3245544,47.734067
224775125,386220,32,None,No Injury,Motor vehicle driver,,,2/11/2025,EF66197,-122.3245544,47.734067
224775179,386376,34,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,2/7/2025,EF72686,-122.3135054,47.56532686
224775182,386376,38,None,No Injury,Motor vehicle driver,,,2/7/2025,EF72686,-122.3135054,47.56532686
224775185,386376,,,No Injury,Motor vehicle passenger,,,2/7/2025,EF72686,-122.3135054,47.56532686
224775261,384120,40,Under the Influence of Alcohol,No Injury,Motor vehicle driver,,,6/25/2025,3931548,-122.3181166,47.60310675
224775263,384120,,None,,Motor vehicle driver,,,6/25/2025,3931548,-122.3181166,47.60310675
224775264,386383,35,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,2/19/2025,EF72823,,
224775265,384120,,None,,Motor vehicle driver,,,6/25/2025,3931548,-122.3181166,47.60310675
224775267,386383,47,None,No Injury,Motor vehicle driver,,,2/19/2025,EF72823,,
224775287,385949,30,Unknown Distraction,No Injury,Motor vehicle driver,,,1/13/2025,EF56414,-122.3295969,47.60748544
224775289,385949,67,None,No Injury,Motor vehicle driver,,,1/13/2025,EF56414,-122.3295969,47.60748544
224775292,385949,34,None,Possible Injury,Motor vehicle driver,,,1/13/2025,EF56414,-122.3295969,47.60748544
224775295,385949,40,None,No Injury,Motor vehicle driver,,,1/13/2025,EF56414,-122.3295969,47.60748544
224775298,385949,33,,No Injury,Motor vehicle passenger,,,1/13/2025,EF56414,-122.3295969,47.60748544
224775300,386217,78,Distractions Outiside Vehicle,No Injury,Motor vehicle driver,,,2/9/2025,EF65888,-122.3876954,47.53844795
224775302,386217,65,None,No Injury,Motor vehicle driver,,,2/9/2025,EF65888,-122.3876954,47.53844795
224775305,386217,84,,No Injury,Motor vehicle passenger,,,2/9/2025,EF65888,-122.3876954,47.53844795
224775316,386427,43,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,2/24/2025,EF74522,-122.317293,47.58921797
224775319,386427,,None,,Motor vehicle driver,,,2/24/2025,EF74522,-122.317293,47.58921797
224775322,386427,,None,,Motor vehicle driver,,,2/24/2025,EF74522,-122.317293,47.58921797
224775402,386222,45,Improper U-Turn,No Injury,Motor vehicle driver,,,2/13/2025,EF66487,-122.2493305,47.50002757
224775404,386222,33,None,No Injury,Motor vehicle driver,,,2/13/2025,EF66487,-122.2493305,47.50002757
224775680,386046,56,Unknown Distraction,No Injury,Motor vehicle driver,,,5/2/2025,EF89648,-122.3393718,47.60978625
224775683,386046,55,,No Injury,Motor vehicle passenger,,,5/2/2025,EF89648,-122.3393718,47.60978625
224775686,386046,55,,No Injury,Motor vehicle passenger,,,5/2/2025,EF89648,-122.3393718,47.60978625
224775689,386046,25,,Possible Injury,Pedestrian,All Other Actions,Designated Bike Route,5/2/2025,EF89648,-122.3393718,47.60978625
224775716,386397,,Apparently Ill,Possible Injury,Motor vehicle driver,,,3/9/2025,EF72279,-122.3342298,47.55455094
224775723,386540,63,Unknown Distraction,No Injury,Motor vehicle driver,,,2/15/2025,EF74737,-122.3623726,47.62186212
224775726,386540,,None,,Motor vehicle driver,,,2/15/2025,EF74737,-122.3623726,47.62186212
224775729,386540,,None,,Motor vehicle driver,,,2/15/2025,EF74737,-122.3623726,47.62186212
224775762,386404,60,None,No Injury,Motor vehicle driver,,,3/10/2025,EF74376,-122.270157,47.50608392
224775765,386404,61,Improper Turn/Merge,Possible Injury,Motor vehicle driver,,,3/10/2025,EF74376,-122.270157,47.50608392
224775955,386063,25,Overcorrecting/Oversteering,No Injury,Motor vehicle driver,,,5/2/2025,EF89832,-122.3453813,47.70505894
224775957,386063,39,None,No Injury,Motor vehicle driver,,,5/2/2025,EF89832,-122.3453813,47.70505894
224775960,386063,38,None,Non Serious Injury (Evident Injury),Pedestrian,All Other Actions,Other,5/2/2025,EF89832,-122.3453813,47.70505894
224776002,380120,26,None,No Injury,Motor vehicle driver,,,1/8/2025,3929903,-122.3149433,47.60169587
224776003,380120,10,Failure to Use Xwalk,Non Serious Injury (Evident Injury),Pedestrian,Crossing at Intersection - No Signal,Unmarked Crosswalk,1/8/2025,3929903,-122.3149433,47.60169587
224776075,381820,,Unknown Distraction,Unknown,Motor vehicle driver,,,3/3/2025,3931631,-122.3071637,47.54638633
224776076,381820,23,None,No Injury,Motor vehicle driver,,,3/3/2025,3931631,-122.3071637,47.54638633
224776148,384420,31,None,Unknown,Motor vehicle driver,,,6/25/2025,EG07802,-122.3342151,47.58086021
224776149,384420,20,None,Unknown,Motor vehicle driver,,,6/25/2025,EG07802,-122.3342151,47.58086021
224776150,384420,51,,Unknown,Motor vehicle passenger,,,6/25/2025,EG07802,-122.3342151,47.58086021
224776268,385440,36,Distractions Outiside Vehicle,No Injury,Motor vehicle driver,,,6/14/2025,EG01182,-122.3014399,47.61226924
224776269,385440,,Other/Contributing Circ. Not Listed,,Motor vehicle driver,,,6/14/2025,EG01182,-122.3014399,47.61226924
224776270,385440,36,,No Injury,Motor vehicle passenger,,,6/14/2025,EG01182,-122.3014399,47.61226924
224776293,385640,24,Improper Passing,No Injury,Motor vehicle driver,,,8/4/2025,3926069,-122.3834872,47.5628795
224776294,385640,65,None,No Injury,Motor vehicle driver,,,8/4/2025,3926069,-122.3834872,47.5628795
224776709,380320,28,Improper Turn/Merge,No Injury,Motor vehicle driver,,,1/18/2025,EF57424,-122.3305824,47.61861333
224776710,380320,39,None,No Injury,Motor vehicle driver,,,1/18/2025,EF57424,-122.3305824,47.61861333
224776745,383220,67,Did not Grant Right of Way to Non Motorist,No Injury,Motor vehicle driver,,,5/14/2025,EF91667,-122.3569703,47.63596158
224776746,383220,36,None,Non Serious Injury (Evident Injury),Pedestrian,Crossing at Intersection - No Signal,Marked Cross Walk,5/14/2025,EF91667,-122.3569703,47.63596158
224776858,386640,51,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,5/31/2025,EF97875,-122.2741471,47.55264635
224776860,386640,65,None,No Injury,Motor vehicle driver,,,5/31/2025,EF97875,-122.2741471,47.55264635
224776958,386240,20,Improper Turn/Merge,No Injury,Motor vehicle driver,,,1/14/2025,EF67833,-122.3289774,47.60088112
224776961,386240,60,None,No Injury,Motor vehicle driver,,,1/14/2025,EF67833,-122.3289774,47.60088112
224777119,382020,25,Under the Influence of Alcohol,No Injury,Motor vehicle driver,,,3/31/2025,3930312,-122.367808,47.69065338
224777121,382020,69,None,Possible Injury,Motor vehicle driver,,,3/31/2025,3930312,-122.367808,47.69065338
224777350,385840,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,4/18/2025,EF88001,-122.2920696,47.69021618
224777354,385840,,None,,Motor vehicle driver,,,4/18/2025,EF88001,-122.2920696,47.69021618
224777357,385840,,None,,Motor vehicle driver,,,4/18/2025,EF88001,-122.2920696,47.69021618
224777374,385740,,Unknown Distraction,Unknown,Motor vehicle driver,,,4/11/2025,EF87974,-122.3022404,47.59112243
224777375,385740,41,None,No Injury,Motor vehicle driver,,,4/11/2025,EF87974,-122.3022404,47.59112243
224777406,387040,75,Distractions Outiside Vehicle,No Injury,Motor vehicle driver,,,6/26/2025,3926064,-122.3542338,47.56784415
224777409,387040,,None,Unknown,Motor vehicle driver,,,6/26/2025,3926064,-122.3542338,47.56784415
224777642,386040,45,None,No Injury,Motor vehicle driver,,,1/10/2025,EF57845,-122.2980655,47.58831751
224777645,386040,47,Did not Grant Right of Way to Vehicle,Non Serious Injury (Evident Injury),Pedestrian,From Behind Parked Vehicle,Roadway,1/10/2025,EF57845,-122.2980655,47.58831751
224777858,383420,43,Under the Influence of Drugs,No Injury,Motor vehicle driver,,,5/28/2025,3931614,-122.3095146,47.6164468
224778444,386440,44,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,1/8/2025,EF58307,-122.2700357,47.51715709
224778445,386440,20,None,No Injury,Motor vehicle driver,,,1/8/2025,EF58307,-122.2700357,47.51715709
224778541,384320,24,Under the Influence of Alcohol,No Injury,Motor vehicle driver,,,6/22/2025,3924507,-122.3651384,47.62415147
224778542,384320,,,,Motor vehicle driver,,,6/22/2025,3924507,-122.3651384,47.62415147
224778647,383720,35,Under the Influence of Alcohol,Non Serious Injury (Evident Injury),Motor vehicle driver,,,5/29/2025,3936912,-122.370408,47.68417376
224778648,383720,,,,Motor vehicle driver,,,5/29/2025,3936912,-122.370408,47.68417376
224778649,383720,,,,Motor vehicle driver,,,5/29/2025,3936912,-122.370408,47.68417376
224778706,381720,26,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,3/13/2025,3930287,-122.3634073,47.70106064
224778707,381720,57,None,No Injury,Motor vehicle driver,,,3/13/2025,3930287,-122.3634073,47.70106064
224778712,384620,21,Unknown Distraction,No Injury,Motor vehicle driver,,,6/3/2025,EF99339,-122.3617575,47.57054733
224778713,384620,45,None,Possible Injury,Motor vehicle driver,,,6/3/2025,EF99339,-122.3617575,47.57054733
224778714,384620,40,None,No Injury,Motor vehicle driver,,,6/3/2025,EF99339,-122.3617575,47.57054733
224778715,384620,28,None,Possible Injury,Motor vehicle driver,,,6/3/2025,EF99339,-122.3617575,47.57054733
224778716,384620,51,None,No Injury,Motor vehicle driver,,,6/3/2025,EF99339,-122.3617575,47.57054733
224778717,384620,25,,No Injury,Motor vehicle passenger,,,6/3/2025,EF99339,-122.3617575,47.57054733
224778718,384620,10,,No Injury,Motor vehicle passenger,,,6/3/2025,EF99339,-122.3617575,47.57054733
224778719,384620,12,,No Injury,Motor vehicle passenger,,,6/3/2025,EF99339,-122.3617575,47.57054733
224778720,384620,39,,No Injury,Motor vehicle passenger,,,6/3/2025,EF99339,-122.3617575,47.57054733
224778721,384620,7,,No Injury,Motor vehicle passenger,,,6/3/2025,EF99339,-122.3617575,47.57054733
224778881,383520,55,Unknown Distraction,No Injury,Motor vehicle driver,,,5/21/2025,EF93527,-122.3902653,47.64462023
224778882,383520,27,None,Possible Injury,Motor vehicle driver,,,5/21/2025,EF93527,-122.3902653,47.64462023
224778884,383520,1,,No Injury,Motor vehicle passenger,,,5/21/2025,EF93527,-122.3902653,47.64462023
224779124,380620,39,Under the Influence of Alcohol,No Injury,Motor vehicle driver,,,2/2/2025,3932099,-122.3304801,47.54439217
224779127,380620,20,None,No Injury,Motor vehicle driver,,,2/2/2025,3932099,-122.3304801,47.54439217
224779760,385540,27,Did not Grant Right of Way to Vehicle,Non Serious Injury (Evident Injury),Motor vehicle driver,,,4/9/2025,EF85104,-122.317607,47.69538243
224779762,385540,68,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,4/9/2025,EF85104,-122.317607,47.69538243
224779813,384920,,Improper Turn/Merge,No Injury,Motor vehicle driver,,,8/10/2025,3936934,-122.3762335,47.66607467
224779816,384920,31,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,8/10/2025,3936934,-122.3762335,47.66607467
224779819,384920,57,,No Injury,Motor vehicle passenger,,,8/10/2025,3936934,-122.3762335,47.66607467
225295994,382216,51,None,No Injury,Motor vehicle driver,,,4/15/2025,EF83424,-122.3224672,47.58189538
225295995,380732,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,1/28/2025,EF62190,-122.3096046,47.59587827
225295996,380732,,None,,Motor vehicle driver,,,1/28/2025,EF62190,-122.3096046,47.59587827
225295997,381821,38,Under the Influence of Alcohol,No Injury,Motor vehicle driver,,,3/28/2025,3930157,-122.3714289,47.70153417
225295999,381821,79,,No Injury,Motor vehicle driver,,,3/28/2025,3930157,-122.3714289,47.70153417
225296000,382155,27,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,2/27/2025,3930354,-122.3254984,47.7231417
225296002,382155,46,None,No Injury,Motor vehicle driver,,,2/27/2025,3930354,-122.3254984,47.7231417
225296005,382155,15,,No Injury,Motor vehicle passenger,,,2/27/2025,3930354,-122.3254984,47.7231417
225296010,380337,,Other/Contributing Circ. Not Listed,,Motor vehicle driver,,,1/11/2025,3925807,-122.2653909,47.67211591
225296011,380337,,None,,Motor vehicle driver,,,1/11/2025,3925807,-122.2653909,47.67211591
225296014,381703,,Improper Backing,Unknown,Motor vehicle driver,,,3/19/2025,3929931,-122.3290627,47.59193751
225296015,381703,23,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,3/19/2025,3929931,-122.3290627,47.59193751
225296020,380800,66,Did not Grant Right of Way to Non Motorist,No Injury,Motor vehicle driver,,,2/5/2025,EF63898,-122.3870018,47.5538972
225296021,380800,30,None,Non Serious Injury (Evident Injury),Pedestrian,Crossing at Intersection - No Signal,Marked Cross Walk,2/5/2025,EF63898,-122.3870018,47.5538972
225296032,382091,52,Under the Influence of Alcohol,No Injury,Motor vehicle driver,,,4/5/2025,3929943,-122.3207684,47.60765162
225296033,382091,25,None,No Injury,Motor vehicle driver,,,4/5/2025,3929943,-122.3207684,47.60765162
225296034,382091,33,None,No Injury,Motor vehicle driver,,,4/5/2025,3929943,-122.3207684,47.60765162
225296035,382091,33,None,Unknown,Motor vehicle driver,,,4/5/2025,3929943,-122.3207684,47.60765162
225296036,382091,19,,No Injury,Motor vehicle passenger,,,4/5/2025,3929943,-122.3207684,47.60765162
225296040,382277,45,Unknown Distraction,No Injury,Motor vehicle driver,,,4/14/2025,3928164,-122.3768322,47.56408254
225296041,382277,39,None,No Injury,Motor vehicle driver,,,4/14/2025,3928164,-122.3768322,47.56408254
225296042,382277,3,,No Injury,Motor vehicle passenger,,,4/14/2025,3928164,-122.3768322,47.56408254
225296054,380008,56,Unknown Distraction,No Injury,Motor vehicle driver,,,1/8/2025,EF54471,-122.3290708,47.58085838
225296055,380008,30,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,1/8/2025,EF54471,-122.3290708,47.58085838
225296056,382087,,Unknown Distraction,No Injury,Motor vehicle driver,,,4/5/2025,3926284,-122.3332879,47.51867836
225296062,379853,,Unknown Distraction,,Motor vehicle driver,,,12/30/2024,3930936,-122.2983732,47.53396852
225296069,381859,25,Exceeding Reasonable and Safe Speed,No Injury,Motor vehicle driver,,,3/26/2025,EF77943,-122.3380626,47.61171136
225296070,381859,30,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,3/26/2025,EF77943,-122.3380626,47.61171136
225296075,381665,22,Physically Impaired,Unknown,Motor vehicle driver,,,3/25/2025,3930153,-122.2923569,47.73103276
225296076,381665,,,,Motor vehicle driver,,,3/25/2025,3930153,-122.2923569,47.73103276
225296083,380731,,Unknown Distraction,Unknown,Motor vehicle driver,,,2/13/2025,3924341,-122.3423685,47.62447105
225296084,380731,28,Other/Contributing Circ. Not Listed,Serious Injury,Pedestrian,All Other Actions,Marked Cross Walk,2/13/2025,3924341,-122.3423685,47.62447105
225296087,381497,42,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,1/30/2025,EF61147,-122.3109187,47.60618407
225296088,381497,33,None,No Injury,Motor vehicle driver,,,1/30/2025,EF61147,-122.3109187,47.60618407
225296089,381497,37,,No Injury,Motor vehicle passenger,,,1/30/2025,EF61147,-122.3109187,47.60618407
225296107,381624,,Improper Turn/Merge,Unknown,Motor vehicle driver,,,3/13/2025,EF73604,-122.3387473,47.61229955
225296108,381624,,None,Unknown,Motor vehicle driver,,,3/13/2025,EF73604,-122.3387473,47.61229955
225296114,380625,34,Under the Influence of Alcohol,Non Serious Injury (Evident Injury),Motor vehicle driver,,,1/27/2025,3925938,-122.2529778,47.50818904
225296115,380625,,,,Motor vehicle driver,,,1/27/2025,3925938,-122.2529778,47.50818904
225296121,382076,72,Exceeding Reasonable and Safe Speed,No Injury,Motor vehicle driver,,,3/23/2025,3922591,-122.3390679,47.51917884
225296122,381093,42,Under the Influence of Alcohol,No Injury,Motor vehicle driver,,,2/14/2025,3930276,-122.3534545,47.70508325
225296123,381093,21,Improper U-Turn,No Injury,Motor vehicle driver,,,2/14/2025,3930276,-122.3534545,47.70508325
225296124,381093,42,None,No Injury,Motor vehicle driver,,,2/14/2025,3930276,-122.3534545,47.70508325
225296125,381093,22,,No Injury,Motor vehicle passenger,,,2/14/2025,3930276,-122.3534545,47.70508325
225296126,380417,34,Other Distractions,No Injury,Motor vehicle driver,,,1/23/2025,EF59769,-122.3001998,47.54589464
225296127,380417,80,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,1/23/2025,EF59769,-122.3001998,47.54589464
225296128,380417,23,None,No Injury,Motor vehicle driver,,,1/23/2025,EF59769,-122.3001998,47.54589464
225296129,382086,62,Improper Turn/Merge,No Injury,Motor vehicle driver,,,3/26/2025,3931659,-122.3122507,47.5336947
225296130,382086,30,None,Non Serious Injury (Evident Injury),Pedal cycle driver,All Other Actions,Sidewalk,3/26/2025,3931659,-122.3122507,47.5336947
225296131,381461,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,3/9/2025,EF72650,-122.3674096,47.66293536
225296135,382226,25,Unknown Distraction,No Injury,Motor vehicle driver,,,4/10/2025,EF83474,-122.3167952,47.60652606
225296136,382226,31,None,No Injury,Motor vehicle driver,,,4/10/2025,EF83474,-122.3167952,47.60652606
225296137,381808,,Disregard Traffic Sign or Signal,Unknown,Motor vehicle driver,,,3/27/2025,3927928,-122.3947826,47.57029418
225296138,381808,55,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,3/27/2025,3927928,-122.3947826,47.57029418
225296139,381808,14,,No Injury,Motor vehicle passenger,,,3/27/2025,3927928,-122.3947826,47.57029418
225296140,381876,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,3/25/2025,EF78452,-122.3500544,47.6614001
225296141,381876,42,None,No Injury,Motor vehicle driver,,,3/25/2025,EF78452,-122.3500544,47.6614001
225296142,381876,9,,No Injury,Motor vehicle passenger,,,3/25/2025,EF78452,-122.3500544,47.6614001
225296143,381876,12,,No Injury,Motor vehicle passenger,,,3/25/2025,EF78452,-122.3500544,47.6614001
225296144,382166,22,Did not Grant Right of Way to Vehicle,Non Serious Injury (Evident Injury),Motor vehicle driver,,,3/29/2025,EF78411,-122.3294099,47.5659699
225296145,382166,29,None,Non Serious Injury (Evident Injury),Motor vehicle driver,,,3/29/2025,EF78411,-122.3294099,47.5659699
225296148,382260,42,Under the Influence of Drugs,No Injury,Motor vehicle driver,,,4/17/2025,3931913,-122.3181213,47.60478408
225296149,382260,,None,,Motor vehicle driver,,,4/17/2025,3931913,-122.3181213,47.60478408
225296158,380694,34,Under the Influence of Alcohol,No Injury,Motor vehicle driver,,,2/10/2025,3929898,-122.2902381,47.5970937
225296159,381868,18,Improper Backing,No Injury,Motor vehicle driver,,,3/29/2025,3929152,-122.3332819,47.59678963
225296160,381868,,,,Motor vehicle driver,,,3/29/2025,3929152,-122.3332819,47.59678963
225296163,381700,39,None,No Injury,Motor vehicle driver,,,1/29/2025,EF61141,-122.2948374,47.53786938
225296164,381700,48,Unknown Distraction,No Injury,Motor vehicle driver,,,1/29/2025,EF61141,-122.2948374,47.53786938
225296166,381444,88,Under the Influence of Alcohol,No Injury,Motor vehicle driver,,,3/1/2025,3889408,-122.336353,47.64920134
225296167,381444,24,None,Non Serious Injury (Evident Injury),Pedestrian,Crossing at Intersection - No Signal,Unmarked Crosswalk,3/1/2025,3889408,-122.336353,47.64920134
225296168,381805,43,Unknown Distraction,No Injury,Motor vehicle driver,,,3/27/2025,3927927,-122.3762041,47.56408227
225296169,381805,29,None,Possible Injury,Pedestrian,Crossing at Intersection with Signal,Marked Cross Walk,3/27/2025,3927927,-122.3762041,47.56408227
225296174,381809,23,Did not Grant Right of Way to Vehicle,No Injury,Motor vehicle driver,,,2/24/2025,3929912,-122.3265566,47.61171682
225296175,381809,23,None,No Injury,Motor vehicle driver,,,2/24/2025,3929912,-122.3265566,47.61171682
225296176,381809,36,None,No Injury,Motor vehicle driver,,,2/24/2025,3929912,-122.3265566,47.61171682
225296180,380565,44,Apparently Asleep,Unknown,Motor vehicle driver,,,2/2/2025,3929977,-122.3547957,47.55492162
225296181,380565,,None,,Motor vehicle driver,,,2/2/2025,3929977,-122.3547957,47.55492162
225296182,380565,,None,,Motor vehicle driver,,,2/2/2025,3929977,-122.3547957,47.55492162
225296183,380740,,Unknown Distraction,,Motor vehicle driver,,,12/30/2024,3908198,-122.3290719,47.57877344
225296188,382256,,Operating Reckless or Aggressively,,Motor vehicle driver,,,4/19/2025,3930056,-122.363848,47.7096842
225296195,381874,20,Under the Influence of Alcohol,Non Serious Injury (Evident Injury),Motor vehicle driver,,,3/30/2025,3931727,-122.3013313,47.54534932
225296196,381874,,None,,Motor vehicle driver,,,3/30/2025,3931727,-122.3013313,47.54534932
225296197,381448,36,Following Too Closely,No Injury,Motor vehicle driver,,,2/19/2025,3930098,-122.2963434,47.71845713
225296198,381448,31,None,No Injury,Motor vehicle driver,,,2/19/2025,3930098,-122.2963434,47.71845713
225296199,381448,38,,No Injury,Motor vehicle passenger,,,2/19/2025,3930098,-122.2963434,47.71845713
225296212,380537,,Exceeding Stated Speed Limit,No Injury,Motor vehicle driver,,,1/22/2025,3924337,-122.3466572,47.64142409
225296213,380537,,None,No Injury,Motor vehicle driver,,,1/22/2025,3924337,-122.3466572,47.64142409
225296219,380856,,Did not Grant Right of Way to Vehicle,Unknown,Motor vehicle driver,,,2/11/2025,EF65350,-122.3231844,47.70496154
225296220,380856,,None,Unknown,Motor vehicle driver,,,2/11/2025,EF65350,-122.3231844,47.70496154
225296226,381823,39,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,3/29/2025,3933411,-122.339396,47.61268301
225296227,381823,37,None,No Injury,Motor vehicle driver,,,3/29/2025,3933411,-122.339396,47.61268301
225296228,381823,,,No Injury,Motor vehicle passenger,,,3/29/2025,3933411,-122.339396,47.61268301
225296229,381823,,,No Injury,Motor vehicle passenger,,,3/29/2025,3933411,-122.339396,47.61268301
225296230,381823,,,No Injury,Motor vehicle passenger,,,3/29/2025,3933411,-122.339396,47.61268301
225296246,381637,,Other/Contributing Circ. Not Listed,Unknown,Motor vehicle driver,,,3/9/2025,EF72255,-122.3446788,47.70252066
225296247,381803,,Distractions Outiside Vehicle,Unknown,Motor vehicle driver,,,3/28/2025,3927817,-122.3168877,47.61643787
225296248,381803,37,None,No Injury,Motor vehicle driver,,,3/28/2025,3927817,-122.3168877,47.61643787
225296249,381869,48,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,3/28/2025,EF78002,-122.3323948,47.55416163
225296250,381869,38,Other/Contributing Circ. Not Listed,No Injury,Motor vehicle driver,,,3/28/2025,EF78002,-122.3323948,47.55416163
225296265,381451,47,,No Injury,Motor vehicle driver,,,2/13/2025,3925943,-122.2545514,47.50635851
